iter	RMSE
0	0.4013910326
1	0.3961372299
2	0.3907144179
3	0.3857005675
4	0.3807653278
5	0.3758691538
6	0.3712682482
7	0.3663907532
8	0.3615280155
9	0.3571216733
10	0.3524677978
11	0.3479358746
12	0.3437589591
13	0.3393838962
14	0.3351306309
15	0.3309083714
16	0.326780741
17	0.3226963018
18	0.3188397908
19	0.3149592006
20	0.3114308254
21	0.3080086127
22	0.3045546622
23	0.3010200968
24	0.2975677153
25	0.2940695532
26	0.2906323296
27	0.2874206213
28	0.2840785256
29	0.2809307557
30	0.2779403082
31	0.274900038
32	0.2719876116
33	0.26922121
34	0.2664218363
35	0.2636275701
36	0.2609164999
37	0.2584001673
38	0.2559877181
39	0.2534571999
40	0.2509907682
41	0.248649214
42	0.246130792
43	0.2437332678
44	0.2415038746
45	0.2391318303
46	0.2369529594
47	0.2347236478
48	0.2326840016
49	0.2307474624
50	0.2285903107
51	0.2265072939
52	0.2244909658
53	0.2226064439
54	0.2207288612
55	0.2189678611
56	0.2170336965
57	0.2153536573
58	0.2134568643
59	0.21169115
60	0.2099323133
61	0.2083132173
62	0.2065295222
63	0.2048747096
64	0.2033292576
65	0.2018920515
66	0.2003567761
67	0.1988539219
68	0.1975321067
69	0.1961255824
70	0.1945799225
71	0.1931687771
72	0.1917439404
73	0.1903793437
74	0.1891058507
75	0.187786376
76	0.1866030364
77	0.185419314
78	0.1842172532
79	0.18319639
80	0.1820606838
81	0.1807943797
82	0.179581822
83	0.1785487238
84	0.1774569658
85	0.1764771596
86	0.1754336051
87	0.174452912
88	0.1734011023
89	0.1724620418
90	0.1715247729
91	0.1706686565
92	0.1697728211
93	0.1687906372
94	0.1679624079
95	0.1671051827
96	0.166266531
97	0.165361745
98	0.1645697591
99	0.1637392687
100	0.1629393733
101	0.1620299923
102	0.1612268247
103	0.1603896238
104	0.1597904969
105	0.1590274207
106	0.1583224392
107	0.1576575582
108	0.1568963606
109	0.1562254947
110	0.1555246812
111	0.1547804484
112	0.1542140812
113	0.1535375797
114	0.152915911
115	0.1522430975
116	0.1515275548
117	0.1510207025
118	0.1504284463
119	0.1498974927
120	0.1492409719
121	0.1486641937
122	0.1480781847
123	0.1474940191
124	0.1469678979
125	0.1463149022
126	0.1457192117
127	0.1452335111
128	0.1447544776
129	0.1442299439
130	0.1437140685
131	0.1432306516
132	0.1427185036
133	0.142223127
134	0.1417292384
135	0.1412959248
136	0.1408437333
137	0.1403925339
138	0.1399440471
139	0.1395371721
140	0.1391074858
141	0.1387217297
142	0.138306707
143	0.1377905762
144	0.137357012
145	0.1369223411
146	0.1364819178
147	0.1360928767
148	0.1357070727
149	0.1353399533
150	0.1349002192
151	0.1345562448
152	0.134211465
153	0.1338657264
154	0.1335224805
155	0.1331470799
156	0.1326804182
157	0.1323716772
158	0.1320139178
159	0.1315994872
160	0.1312724447
161	0.1309862042
162	0.1305784126
163	0.1302812199
164	0.129959782
165	0.1296045948
166	0.1291795883
167	0.1287731058
168	0.1284692462
169	0.1281430263
170	0.1278877199
171	0.1275970581
172	0.1273048152
173	0.126981436
174	0.1266532949
175	0.1263728902
176	0.1260535085
177	0.1257258076
178	0.1253360365
179	0.1250748524
180	0.1248444218
181	0.1245656586
182	0.124290435
183	0.124033595
184	0.1238182181
185	0.123567395
186	0.1233218259
187	0.1230313159
188	0.1227816029
189	0.1224730395
190	0.1222474508
191	0.121991911
192	0.1217571705
193	0.1214289412
194	0.1211505037
195	0.1208465109
196	0.1205545802
197	0.1202726453
198	0.1199737773
199	0.1196765725
200	0.1194302656
201	0.1191037842
202	0.1188904006
203	0.1186467807
204	0.1184172839
205	0.1182169018
206	0.1180478833
207	0.117869535
208	0.1176502814
209	0.1175004168
210	0.1173136351
211	0.1171515548
212	0.1168819919
213	0.1166443192
214	0.1164689203
215	0.1162909666
216	0.1160518198
217	0.1158042568
218	0.1156488608
219	0.1154133026
220	0.1152320021
221	0.1150257547
