iter	Passed	Remaining
0	3	6252
1	5	5646
2	8	5808
3	11	5940
4	14	5805
5	17	5704
6	19	5563
7	22	5480
8	25	5604
9	27	5571
10	30	5538
11	33	5503
12	35	5466
13	38	5479
14	41	5529
15	44	5503
16	46	5453
17	49	5414
18	51	5377
19	54	5370
20	58	5469
21	60	5455
22	63	5445
23	66	5456
24	69	5513
25	73	5581
26	76	5591
27	79	5587
28	81	5562
29	84	5535
30	86	5512
31	89	5493
32	91	5468
33	94	5444
34	96	5428
35	99	5405
36	101	5382
37	104	5397
38	107	5383
39	109	5361
40	111	5345
41	114	5331
42	116	5319
43	119	5312
44	122	5320
45	124	5306
46	127	5288
47	129	5271
48	132	5266
49	135	5289
50	139	5313
51	141	5308
52	144	5300
53	147	5314
54	150	5331
55	153	5338
56	156	5333
57	159	5329
58	162	5330
59	165	5335
60	168	5344
61	171	5373
62	175	5394
63	179	5417
64	182	5430
65	186	5458
66	188	5450
67	191	5450
68	194	5441
69	197	5435
70	200	5440
71	202	5434
72	205	5427
73	208	5415
74	210	5404
75	213	5405
76	216	5406
77	218	5392
78	221	5377
79	223	5365
80	225	5350
81	228	5333
82	230	5330
83	233	5323
84	235	5313
85	238	5301
86	240	5295
87	243	5283
88	246	5283
89	248	5274
90	250	5261
91	253	5250
92	255	5237
93	257	5225
94	260	5219
95	262	5214
96	265	5205
97	267	5194
98	269	5183
99	272	5174
100	274	5166
101	277	5172
102	281	5176
103	283	5171
104	286	5162
105	288	5153
106	290	5147
107	294	5165
108	297	5160
109	299	5153
110	302	5144
111	304	5133
112	306	5123
113	309	5123
114	312	5115
115	314	5112
116	317	5104
117	319	5096
118	321	5087
119	324	5080
120	327	5080
121	329	5076
122	332	5070
123	334	5063
124	337	5057
125	339	5049
126	342	5051
127	345	5046
128	347	5039
129	349	5032
130	352	5022
131	354	5015
132	356	5008
133	359	5005
134	361	4997
135	364	4991
136	366	4983
137	368	4975
138	371	4967
139	373	4964
140	376	4961
141	378	4958
142	381	4955
143	384	4951
144	386	4944
145	389	4943
146	391	4940
147	394	4936
148	397	4934
149	399	4928
150	401	4921
151	404	4919
152	407	4916
153	409	4909
154	411	4904
155	414	4897
156	416	4889
157	419	4886
158	422	4888
159	424	4883
160	427	4882
161	430	4883
162	432	4879
163	435	4874
